,Clusters,Neighborhood,Borough,Latitude,Longitude,Common Venue
45,2,Castle Hill,Bronx,40.819014376988314,-73.84802729582735,Spanish Restaurant
46,1,Castleton Corners,Staten Island,40.61333593766742,-74.11918058534842,Pizza Place
47,0,Central Harlem,Manhattan,40.81597606742414,-73.94321112603905,Seafood Restaurant
48,0,Charleston,Staten Island,40.53053148283314,-74.23215775896526,Italian Restaurant
49,0,Chelsea,Manhattan,40.744034706747975,-74.00311633472813,Italian Restaurant
49,0,Chelsea,Staten Island,40.59472602746295,-74.1895604551969,Italian Restaurant
50,0,Chinatown,Manhattan,40.71561842231432,-73.99427936255978,Italian Restaurant
51,0,City Island,Bronx,40.84724670491813,-73.78648845267413,Seafood Restaurant
52,2,City Line,Brooklyn,40.67856995727479,-73.86797598081334,Fast Food Restaurant
53,0,Civic Center,Manhattan,40.71522892046282,-74.00541529873355,Italian Restaurant
54,2,Claremont Village,Bronx,40.83142834161548,-73.90119903387667,Pizza Place
55,0,Clason Point,Bronx,40.80655112003589,-73.85414416189266,Seafood Restaurant
56,2,Clifton,Staten Island,40.61917845202843,-74.072642445484,Pizza Place
57,0,Clinton,Manhattan,40.75910089146212,-73.99611936309479,Fried Chicken Joint
58,0,Clinton Hill,Brooklyn,40.693229421881504,-73.96784306216367,Italian Restaurant
59,2,Co-op City,Bronx,40.87429419303012,-73.82993910812398,Fast Food Restaurant
60,0,Cobble Hill,Brooklyn,40.687919722485574,-73.99856139218463,French Restaurant
61,2,College Point,Queens,40.784902749260205,-73.84304528896125,Chinese Restaurant
62,0,Concord,Staten Island,40.6044731896879,-74.08402364740358,Italian Restaurant
63,2,Concourse,Bronx,40.83428380733851,-73.91558941773444,Fast Food Restaurant
64,2,Concourse Village,Bronx,40.824780490842905,-73.91584652759009,Fast Food Restaurant
65,2,Coney Island,Brooklyn,40.57429256471601,-73.98868295821637,Pizza Place
66,2,Corona,Queens,40.74238175015667,-73.85682497345258,Latin American Restaurant
67,2,Country Club,Bronx,40.844245936947374,-73.8240992675385,Pizza Place
68,2,Crown Heights,Brooklyn,40.67082917695294,-73.94329119073582,Mexican Restaurant
69,2,Cypress Hills,Brooklyn,40.68239101144211,-73.87661596457296,Chinese Restaurant
