,bldgclass,bldgarea,officearea,retailarea,resarea,comarea,unitstotal,assesstot,longitude,latitude,Cluster
465596,C0,3146.0,0.0,0.0,3146.0,0.0,3.0,93180.0,-73.8868092,40.726828399999995,0
527178,RC,1270270.0,1196200.0,66048.0,0.0,1270270.0,49.0,319737588.0,-73.9742574,40.75525089999999,1
532273,D8,572348.0,173952.0,12000.0,0.0,199952.0,62.0,0.0,-73.9775681,40.7649531,0
588079,O9,1653794.0,1498274.0,0.0,0.0,1498274.0,45.0,157365900.0,-74.0038165,40.7151364,3
588083,O4,905500.0,905500.0,0.0,0.0,905500.0,41.0,78493500.0,-74.0045885,40.7155645,1
588211,D4,759187.0,0.0,51746.0,707441.0,51746.0,656.0,60465600.0,-73.9494689,40.782311299999996,0
594547,O4,559755.0,533565.0,26190.0,0.0,559755.0,57.0,65271150.0,-73.9733313,40.7515809,2
594583,D8,312041.0,0.0,663.0,311378.0,663.0,259.0,39622050.0,-73.9867177,40.7710874,0
595395,D9,673920.0,5700.0,0.0,535820.0,138100.0,402.0,12757950.0,-73.8773741,40.8799937,0
597179,O4,563420.0,520000.0,5000.0,0.0,563420.0,61.0,62539200.0,-73.9710922,40.7547122,2
597218,H2,158519.0,0.0,14993.0,0.0,16221.0,3.0,11999520.0,-73.988125,40.7550692,0
598219,D6,886042.0,0.0,87543.0,795999.0,90043.0,697.0,0.0,-73.9875377,40.7492454,0
598537,D6,710860.0,0.0,0.0,700715.0,0.0,791.0,63753750.0,-73.9396359,40.747006400000004,0
598781,D6,882579.0,0.0,15397.0,867182.0,15397.0,959.0,39464100.0,-73.93620779999999,40.7502873,0
598920,D6,390824.0,0.0,0.0,390824.0,26448.0,392.0,39497400.0,-73.9423071,40.7505815,0
