,Unnamed: 0,geometry
385,200460,POINT (-73.9856377 40.7567707)
386,200463,POINT (-73.9839412 40.757034)
387,200469,POINT (-73.9840421 40.75756920000001)
388,200470,POINT (-73.9840995 40.75922979999999)
389,200472,POINT (-73.98339200000002 40.7589305)
390,200476,POINT (-73.98039809999999 40.7642576)
391,200479,POINT (-73.9861798 40.7535759)
392,200483,POINT (-73.9779577 40.7643367)
393,200503,POINT (-73.98251879999999 40.7578984)
394,200509,POINT (-73.97837309999998 40.7636946)
395,200510,POINT (-73.98830840000002 40.7587088)
396,200528,POINT (-73.9869978 40.7605092)
397,200543,POINT (-73.98643879999999 40.75792910000001)
398,200555,POINT (-73.98609159999999 40.7608934)
399,200565,POINT (-73.98470159999999 40.7621064)
400,200570,POINT (-73.98391140000003 40.7608848)
401,200583,POINT (-73.98354620000001 40.7631025)
402,200596,POINT (-73.98407309999997 40.763561)
403,200600,POINT (-73.98507740000002 40.7606188)
404,200609,POINT (-73.9837485 40.7625179)
405,200620,POINT (-73.99158249999998 40.75750410000001)
406,200621,POINT (-73.98146990000002 40.7654737)
407,200624,POINT (-73.98253100000002 40.7662753)
408,200650,POINT (-73.9816902 40.7649495)
409,200776,POINT (-73.9874308 40.761426)
410,201162,POINT (-73.99760670000001 40.7609628)
411,201169,POINT (-73.99637940000002 40.7605401)
412,201279,POINT (-73.98142800000002 40.7731562)
413,201299,POINT (-73.9816422 40.7559961)
414,201301,POINT (-73.9860604 40.7719602)
415,201371,POINT (-73.9801264 40.75522460000001)
416,201385,POINT (-73.97847469999998 40.7619654)
417,201394,POINT (-73.9783412 40.7617211)
418,201416,POINT (-73.9758652 40.7609932)
419,201427,POINT (-73.9768041 40.7597693)
420,201434,POINT (-73.97797299999998 40.76188300000001)
421,201435,POINT (-73.9779188 40.761861)
422,201456,POINT (-73.9803579 40.7535668)
423,201473,POINT (-73.97855340000002 40.7529654)
424,201488,POINT (-73.9767262 40.7554682)
425,201490,POINT (-73.97809479999999 40.7535911)
426,201498,POINT (-73.97747079999998 40.7632744)
427,201507,POINT (-73.9783047 40.7519278)
428,201517,POINT (-73.97942629999999 40.7548375)
429,201521,POINT (-73.98135450000002 40.7522303)
430,201531,POINT (-73.97735390000003 40.75660739999999)
431,201535,POINT (-73.9750944 40.75641760000001)
432,201558,POINT (-73.97429200000001 40.7591896)
433,201595,POINT (-73.976101 40.75763920000001)
434,201606,POINT (-73.9716033 40.7580609)
435,201607,POINT (-73.9759897 40.7559814)
436,201620,POINT (-73.97409959999997 40.7527476)
437,201623,POINT (-73.97376070000001 40.7609324)
438,201629,POINT (-73.97441459999997 40.7502719)
439,201630,POINT (-73.9761058 40.75439220000001)
440,201637,POINT (-73.9738693 40.7510156)
441,201646,POINT (-73.9712564 40.7505594)
442,201662,POINT (-73.97178509999998 40.7550115)
443,201667,POINT (-73.97472329999999 40.75462520000001)
444,201682,POINT (-73.9713553 40.7556345)
445,201689,POINT (-73.97076259999999 40.7572125)
446,201867,POINT (-73.97702159999999 40.7572304)
447,203013,POINT (-73.98382719999999 40.6911241)
448,203045,POINT (-73.98595440000003 40.692741)
449,203048,POINT (-73.98239220000001 40.690402)
450,203100,POINT (-73.98496340000001 40.6897875)
451,203106,POINT (-73.98151999999997 40.688788)
452,215936,POINT (-73.94406409999998 40.7470581)
453,227300,POINT (-73.9881637 40.7602403)
454,227310,POINT (-73.99379140000001 40.7593899)
455,227378,POINT (-73.98814209999998 40.7601004)
456,240655,POINT (-73.9848889 40.7161977)
457,240874,POINT (-73.99044359999998 40.7455891)
458,240940,POINT (-73.9849073 40.7463323)
459,241027,POINT (-73.9836269 40.7433733)
460,241084,POINT (-73.97815079999999 40.748033)
461,241088,POINT (-73.977144 40.7475607)
462,241095,POINT (-73.98367859999998 40.7385783)
463,241124,POINT (-73.9810746 40.7465102)
464,241194,POINT (-73.99042890000003 40.7727182)
465,241255,POINT (-73.9626588 40.7644399)
466,241399,POINT (-73.9488276 40.7710274)
467,248472,POINT (-73.9666071 40.7159468)
468,251662,POINT (-73.9567328 40.7676354)
469,252844,POINT (-73.98790059999997 40.7783968)
470,262925,POINT (-73.964623 40.7636692)
471,265657,POINT (-74.0036757 40.7129735)
472,265688,POINT (-74.00231219999998 40.713657)
473,265818,POINT (-73.9998377 40.7197751)
474,266971,POINT (-73.9930761 40.7304986)
475,266985,POINT (-73.9934441 40.7300705)
476,267003,POINT (-73.9892656 40.7321095)
477,267711,POINT (-73.99431250000001 40.7441621)
478,267729,POINT (-73.9927462 40.74430200000001)
479,267735,POINT (-73.9929411 40.7440605)
480,267767,POINT (-73.9915046 40.7452571)
481,267815,POINT (-73.991663 40.7487045)
482,267833,POINT (-73.9920747 40.7464483)
483,267844,POINT (-73.99243199999999 40.74659929999999)
484,267916,POINT (-73.9912233 40.7443376)
485,267924,POINT (-73.989469 40.7468461)
486,267971,POINT (-73.9891552 40.74572620000001)
487,267978,POINT (-73.98893509999998 40.7455725)
488,268026,POINT (-73.98712279999999 40.7484104)
489,268057,POINT (-73.984942 40.7524586)
490,268070,POINT (-73.9838125 40.7519123)
491,268106,POINT (-73.9862687 40.7423828)
492,268113,POINT (-73.9862141 40.7446417)
493,268115,POINT (-73.98810590000002 40.7405084)
494,268117,POINT (-73.98888890000001 40.7407939)
495,268156,POINT (-73.9847202 40.7441612)
496,268168,POINT (-73.9851529 40.7457175)
497,268335,POINT (-73.98433490000002 40.7405353)
498,268527,POINT (-73.982089 40.7454015)
499,268818,POINT (-73.97469340000001 40.7479335)
500,268855,POINT (-73.9745054 40.7487075)
501,268961,POINT (-73.9724525 40.7470876)
502,268986,POINT (-73.97319940000001 40.7475489)
503,269022,POINT (-73.97714859999998 40.776408)
504,269050,POINT (-73.9825427 40.7768096)
505,269145,POINT (-73.98838499999999 40.7751525)
506,269202,POINT (-73.9676814 40.7916335)
507,269433,POINT (-73.9717216 40.7515696)
508,269434,POINT (-73.9723639 40.75183320000001)
509,269445,POINT (-73.97045079999999 40.76034970000001)
510,269519,POINT (-73.97148079999999 40.749209)
511,269523,POINT (-73.9677016 40.7575576)
512,269537,POINT (-73.96854190000001 40.7513958)
513,269545,POINT (-73.9689248 40.750707)
514,269553,POINT (-73.9695596 40.7517008)
515,269776,POINT (-73.96439119999999 40.7651238)
516,269873,POINT (-73.9582887 40.7734658)
517,270214,POINT (-73.95813199999998 40.7642818)
518,270372,POINT (-73.9508903 40.7694446)
519,270604,POINT (-73.94971140000001 40.7816115)
520,270616,POINT (-73.95408570000002 40.774112)
521,270630,POINT (-73.95109090000003 40.7813596)
522,270829,POINT (-73.9516385 40.7732052)
523,271691,POINT (-73.93615129999998 40.8017346)
524,271769,POINT (-73.93663149999998 40.8019353)
525,272725,POINT (-73.9599017 40.8169072)
526,272734,POINT (-73.936261 40.8229267)
527,272735,POINT (-73.96034969999999 40.8168717)
528,273788,POINT (-73.9430278 40.8447809)
529,273819,POINT (-73.94332490000002 40.8439192)
530,275137,POINT (-73.92852090000002 40.8169881)
531,282942,POINT (-73.8861876 40.8795554)
532,292449,POINT (-73.84443329999998 40.8524439)
533,293093,POINT (-73.8305146 40.8546722)
534,300090,POINT (-73.8609397 40.8776339)
535,316469,POINT (-73.99083929999998 40.7022)
536,316598,POINT (-73.99126149999999 40.7003528)
537,327637,POINT (-73.9598184 40.6676559)
538,341393,POINT (-73.9701642 40.682931)
539,465596,POINT (-73.8868092 40.7268284)
540,527178,POINT (-73.9742574 40.75525089999999)
541,532273,POINT (-73.9775681 40.7649531)
542,588079,POINT (-74.0038165 40.7151364)
543,588083,POINT (-74.0045885 40.7155645)
544,588211,POINT (-73.9494689 40.7823113)
545,594547,POINT (-73.9733313 40.7515809)
546,594583,POINT (-73.9867177 40.7710874)
547,595395,POINT (-73.8773741 40.8799937)
548,597179,POINT (-73.9710922 40.7547122)
549,597218,POINT (-73.988125 40.7550692)
550,598219,POINT (-73.9875377 40.7492454)
551,598537,POINT (-73.9396359 40.7470064)
552,598781,POINT (-73.93620779999998 40.7502873)
553,598920,POINT (-73.94230709999999 40.7505815)
554,598955,POINT (-73.9386056 40.74894920000001)
555,599269,POINT (-73.9817906 40.7543026)
556,599367,POINT (-73.9600021 40.7699559)
557,599833,POINT (-73.9825247 40.762913)
558,599881,POINT (-73.98571170000002 40.74845139999999)
559,599882,POINT (-73.9817958 40.7616942)
560,599884,POINT (-73.98002700000001 40.761768)
561,599887,POINT (-73.9835277 40.7648921)
562,599899,POINT (-73.9807017 40.76287979999999)
563,599903,POINT (-73.9833739 40.7592489)
564,599905,POINT (-73.9833124 40.7597182)
565,599909,POINT (-73.98046690000002 40.7634644)
566,599913,POINT (-73.9820672 40.7593805)
567,599916,POINT (-73.98581709999998 40.7618265)
568,599921,POINT (-73.982843 40.7605196)
569,599924,POINT (-73.9808815 40.76536110000001)
570,599934,POINT (-73.9890053 40.7575423)
571,599936,POINT (-73.975103 40.7622941)
572,599938,POINT (-73.9859611 40.7636189)
573,599939,POINT (-73.98227179999998 40.7635113)
574,599944,POINT (-73.9810694 40.7521095)
575,599948,POINT (-73.9804137 40.7725714)
576,599959,POINT (-73.97940149999999 40.7533251)
577,599960,POINT (-73.99151020000002 40.7582727)
578,599967,POINT (-73.9732772 40.76043)
579,599970,POINT (-73.974237 40.7521301)
